trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
208,False,"{'a': 0.2, 'e': 0.1707593540319159}",25,5,30.600079672976772,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
209,False,"{'a': 0.2, 'e': 0.16906027007041366}",35,18,28.1458839155532,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
210,False,"{'a': 0.2, 'e': 0.167629347809757}",25,13,24.25789499031567,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
211,False,"{'a': 0.2, 'e': 0.16662658302554365}",25,16,15.977311327051334,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
212,False,"{'a': 0.2, 'e': 0.16587844796828502}",25,3,-51.77984295915788,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 2}",1
213,False,"{'a': 0.2, 'e': 0.16406378399033747}",20,10,-6.7205814802805826,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
214,False,"{'a': 0.2, 'e': 0.1632455124539584}",30,20,16.856748842949628,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
215,False,"{'a': 0.2, 'e': 0.16243132206389302}",20,10,15.724923354340081,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
216,False,"{'a': 0.2, 'e': 0.16162119246533926}",20,12,3.0404064649010767,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
217,False,"{'a': 0.2, 'e': 0.1609759989427808}",20,13,13.71156469246721,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
218,False,"{'a': 0.2, 'e': 0.16041356777517274}",20,4,-17.34162872272561,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
219,False,"{'a': 0.2, 'e': 0.15913537880584921}",20,6,16.64249359172528,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
220,False,"{'a': 0.2, 'e': 0.1580253208896478}",30,12,32.818788858905485,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
221,False,"{'a': 0.2, 'e': 0.156609473870183}",30,7,11.670854059964647,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 0}",1
222,False,"{'a': 0.2, 'e': 0.15481878113876424}",25,15,9.326570648117155,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
223,False,"{'a': 0.2, 'e': 0.15404661924647106}",35,20,18.580292555263696,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
224,False,"{'a': 0.2, 'e': 0.15289559135216438}",20,0,2.2633420604324144,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
225,False,"{'a': 0.2, 'e': 0.1513742547991911}",20,9,-32.605499160787645,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 1}",1
226,False,"{'a': 0.2, 'e': 0.15054398174168265}",25,2,23.773770684226285,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
227,False,"{'a': 0.2, 'e': 0.14882264262214037}",25,12,17.241639647346005,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
228,False,"{'a': 0.2, 'e': 0.1478584325227402}",20,7,-57.913098719238,"{0: 9, 1: 1, 2: 1, 3: 1, 4: 1}",1
229,False,"{'a': 0.2, 'e': 0.1469004694641088}",20,14,11.289410871445234,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
230,False,"{'a': 0.2, 'e': 0.14646042844727247}",20,8,23.688983396157965,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
231,False,"{'a': 0.2, 'e': 0.14558429689962482}",20,15,1.2343177384314705,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
232,False,"{'a': 0.2, 'e': 0.14522079072941466}",25,17,15.046142941274923,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
233,False,"{'a': 0.2, 'e': 0.14464106778534885}",20,0,-9.63505817367846,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
234,False,"{'a': 0.2, 'e': 0.14320186511418675}",30,8,30.670623888547823,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
235,False,"{'a': 0.2, 'e': 0.1416352766309903}",20,8,18.68008839575414,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
236,False,"{'a': 0.2, 'e': 0.1407880093149529}",20,10,14.015650865503167,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
237,False,"{'a': 0.2, 'e': 0.14008582618907373}",25,13,10.64171863816283,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
238,False,"{'a': 0.2, 'e': 0.13924782774127653}",20,8,12.574961610912554,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
239,False,"{'a': 0.2, 'e': 0.13841484223031678}",20,10,20.124440779676895,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
240,False,"{'a': 0.2, 'e': 0.13772449532465145}",20,9,15.858951456079847,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
241,False,"{'a': 0.2, 'e': 0.13696908986961753}",20,5,24.132808483023886,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
242,False,"{'a': 0.2, 'e': 0.13594566433863925}",20,8,9.661774715681108,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
243,False,"{'a': 0.2, 'e': 0.13513243248785384}",25,16,7.747988751713551,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
244,False,"{'a': 0.2, 'e': 0.1345257027075204}",25,16,17.102951985713137,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
245,False,"{'a': 0.2, 'e': 0.1339216970772638}",30,7,-3.0057508149994026,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 0}",1
246,False,"{'a': 0.2, 'e': 0.13239041928410605}",25,8,29.700630161999964,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
247,False,"{'a': 0.2, 'e': 0.13126986980212316}",25,17,17.725566296342933,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
248,False,"{'a': 0.2, 'e': 0.13074583908306023}",30,13,30.428050641970305,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
249,False,"{'a': 0.2, 'e': 0.12963920929029896}",25,2,-11.503802311546112,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 1}",1
250,False,"{'a': 0.2, 'e': 0.12815689800959415}",25,9,25.158368725716308,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
251,False,"{'a': 0.2, 'e': 0.1271357329320356}",20,9,17.909377313391904,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
252,False,"{'a': 0.2, 'e': 0.1264384058083441}",25,14,-2.859265543476801,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
253,False,"{'a': 0.2, 'e': 0.12574490345606992}",30,11,32.56355698207666,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
254,False,"{'a': 0.2, 'e': 0.12455598318617699}",20,10,17.652454532823832,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
255,False,"{'a': 0.2, 'e': 0.12393475762836002}",25,12,16.62714210888305,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
256,False,"{'a': 0.2, 'e': 0.12313179416213946}",20,11,15.715716264959013,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
257,False,"{'a': 0.2, 'e': 0.1225789459298635}",25,9,11.441885459515625,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
258,False,"{'a': 0.2, 'e': 0.121602226449511}",30,14,12.172267694101874,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
259,False,"{'a': 0.2, 'e': 0.12063328955315826}",25,17,18.30929191419534,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
260,False,"{'a': 0.2, 'e': 0.12015172017579269}",25,6,-80.68192998221619,"{0: 15, 1: 1, 2: 0, 3: 1, 4: 2}",1
261,False,"{'a': 0.2, 'e': 0.11901568355201492}",25,13,13.26197818021577,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
262,False,"{'a': 0.2, 'e': 0.11830372745486127}",25,0,-40.834055329770074,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
263,False,"{'a': 0.2, 'e': 0.11683413495009948}",25,18,9.05899208774824,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
264,False,"{'a': 0.2, 'e': 0.11642593025270347}",25,6,5.9011510041161115,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
265,False,"{'a': 0.2, 'e': 0.11532512103806251}",25,0,-42.50935822789211,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0
266,False,"{'a': 0.2, 'e': 0.11389252937646045}",20,5,24.5795252486447,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
267,False,"{'a': 0.2, 'e': 0.11304153064044985}",20,11,18.314299898903034,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
268,False,"{'a': 0.2, 'e': 0.11253398658317702}",25,0,-3.5326426097308024,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
269,False,"{'a': 0.2, 'e': 0.1111360669506219}",20,8,6.146850442605214,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
270,False,"{'a': 0.2, 'e': 0.11047124700321906}",20,8,12.584966114171934,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
